year,month,day,R_Rf,R_Market,R_I_Aero,R_I_Guns,R_I_Steel,R_I_Ships,R_I_Beer,R_I_Toys,R_I_Fin,R_I_Rtail,eR_Market,eR_I_Aero,eR_I_Guns,eR_I_Steel,eR_I_Ships,eR_I_Beer,eR_I_Toys,eR_I_Fin,eR_I_Rtail
1977,5,31,.0036932,-.0109598,.0227395,.0472652,-.0594316,-.0306654,-.0244976,-.0646452,.0057832,-.0378057,-.01465301,.01904631,.04357202,-.06312476,-.03435859,-.0281908,-.06833837,.00209007,-.04149889
1977,6,30,.003992,.0498372,.1022858,.0185273,.0002,.0177417,.0153811,.0402778,.0573251,.0570417,.04584521,.09829378,.01453528,-.00379204,.01374966,.01138908,.03628583,.05333305,.05304972
1977,7,31,.0041912,-.0127813,-.0225524,.0170538,-.0773131,-.0033055,-.0392607,.0289761,-.0059175,.0010994,-.01697254,-.02674361,.01286255,-.08150431,-.00749666,-.04345192,.0247849,-.01010868,-.00309181
1977,8,31,.0043903,-.0131866,-.0338671,-.0653922,-.0535063,-.0097474,.0172504,-.0280909,-.0175532,.0482186,-.01757691,-.03825742,-.06978257,-.05789662,-.0141377,.01286001,-.03248123,-.02194351,.04382822
1977,9,30,.0042908,.0015987,-.0359381,.0010994,-.0590072,-.0182658,.0135084,-.0188771,.0029955,-.0120726,-.00269206,-.04022889,-.00319139,-.06329796,-.02255659,.00921757,-.02316784,-.00129527,-.01636336
1977,10,31,.004888,-.0396768,-.0311811,-.0989367,-.0005001,-.0345914,-.0437429,-.1036952,-.0432207,-.0296348,-.04456485,-.03606915,-.10382478,-.00538816,-.03947948,-.04863096,-.10858327,-.04810874,-.03452284
1977,11,30,.0049875,.0440169,.0786263,.0739937,.0148886,.0342082,.0527822,.066443,.047742,.0506931,.03902934,.07363878,.06900614,.00990107,.02922063,.04779464,.06145541,.04275445,.04570557
1977,12,31,.004888,.0075713,.0171521,.0176434,.0430595,-.0287082,-.025523,-.0092426,.016267,-.0235757,.00268323,.01226403,.0127554,.03817146,-.0335962,-.03041099,-.01413062,.01137894,-.02846377
1978,1,31,.004888,-.056782,-.0696717,-.0318003,-.0466724,-.0637921,-.0037069,-.0316971,-.0618754,-.0713886,-.06167005,-.07455971,-.03668835,-.05156044,-.06868017,-.0085949,-.03658512,-.06676344,-.07627663
1978,2,28,.0045895,-.0092426,.0427721,-.0029042,-.0386369,-.0332466,.0007997,-.0093435,-.0009004,-.0131866,-.01383203,.03818264,-.00749367,-.04322634,-.03783605,-.00378977,-.01393297,-.00548986,-.01777601
1978,3,31,.005286,.0332413,.0945826,.1314668,.0601539,.0655068,.0309171,.0810268,.0442083,.0172504,.02795533,.08929664,.12618076,.05486792,.0602208,.0256311,.07574083,.03892225,.01196435
1978,4,30,.0053855,.0808424,.1244276,.0518332,.0848925,.1225716,.042197,.0843412,.0919409,.1089441,.07545692,.11904211,.04644768,.07950699,.11718608,.03681158,.07895568,.0865554,.10355862
1978,5,31,.005087,.0224462,.1143103,.02137,.0333381,.0478373,.0487902,.0666301,.014593,-.0033055,.01735915,.1092233,.01628299,.02825102,.04275029,.04370313,.06154304,.00950596,-.0083925
1978,6,30,.0053855,-.0115666,.0351741,.0357532,-.063579,.0376811,-.0163327,-.0222456,-.011769,-.0225524,-.01695211,.0297886,.0303677,-.06896445,.03229559,-.02171813,-.02763108,-.01715446,-.02793788
