year,month,day,R_Rf,R_Market,R_I_Aero,R_I_Guns,R_I_Steel,R_I_Ships,R_I_Beer,R_I_Toys,R_I_Fin,R_I_Rtail,eR_Market,FF_SMB_Factor,FF_HML_Factor,eR_I_Aero,eR_I_Guns,eR_I_Steel,eR_I_Ships,eR_I_Beer,eR_I_Toys,eR_I_Fin,eR_I_Rtail,eR_I_Beer,eR_I_Toys,eR_I_Fin,eR_I_Rtail
1976,7,31,0.004689,-0.0060181,-0.0492953,0.0324672,-0.0244976,-0.0077298,-0.0041084,0.0134097,0.0006998,-0.018164,-0.01070706,0.0029955,0.0172504,-0.05398428,0.0277782,-0.02918662,-0.01241879,-0.00879742,0.0087207,-0.00398923,-0.02285296,-0.02318249,-0.08521708,-0.03303679,-0.04041463
1976,8,31,0.0041912,-0.001401,0.0022974,-0.0005001,-0.036664,0.015578,-0.0096464,-0.0551956,-0.0034058,0.0462154,-0.00559219,-0.0202027,0.0076705,-0.00189385,-0.00469133,-0.04085519,0.01138683,-0.01383758,-0.05938684,-0.007597,0.04202422,-0.07161988,-0.04008997,-0.06664711,-0.07555208
1976,9,30,0.0043903,0.0246926,0.0434426,-0.0318003,0.0165621,0.0149871,-0.0224501,-0.0021022,0.0141001,0.003992,0.02030226,-0.0001,-0.0029042,0.03905221,-0.03619066,0.01217174,0.01059678,-0.02684048,-0.00649256,0.00970978,-0.00039833,-0.01864368,-0.03528536,-0.05210462,-0.03897578
1976,10,31,0.0040916,-0.0203048,-0.0626204,-0.0104545,-0.06145,-0.0707444,-0.0282966,-0.0378057,0.0043903,-0.0026034,-0.02439637,0.0024969,-0.0013008,-0.06671198,-0.01454608,-0.06554158,-0.07483602,-0.03238822,-0.04189733,0.00029873,-0.006695,0.06743054,0.09377304,0.06409998,0.04141859
1976,11,30,0.003992,0.0075713,0.0393169,0.0572306,-0.0013008,0.0054849,-0.0858847,0.0018982,0.0238142,0.0532564,0.00357924,0.0232281,0.0150856,0.03532484,0.05323861,-0.00529287,0.00149291,-0.08987676,-0.00209382,0.01982216,0.04926434,0.02240469,-0.04741088,0.04696515,0.00089007
1976,12,31,0.003992,0.0587405,0.0515483,0.0532564,0.0732505,0.0933082,0.0889262,0.093126,0.0792732,0.0163654,0.05474848,0.0295588,0.0219572,0.04755624,0.04926434,0.06925844,0.08931615,0.08493419,0.08913396,0.07528116,0.01237333,-0.03039687,-0.01367491,-0.03840019,-0.02764134
1977,1,31,0.0035935,-0.037598,-0.028914,0.0249853,-0.0381173,0.031111,-0.1287429,-0.0696717,-0.0353163,-0.0772051,-0.04119157,0.0466927,0.0418135,-0.03250754,0.02139172,-0.04171086,0.02751746,-0.13233641,-0.07326521,-0.03890988,-0.0807986,0.0102646,-0.0094693,-0.046709,0.00514547
1977,2,28,0.0034939,-0.0161294,-0.0045102,-0.0350056,-0.0060181,-0.0224501,0.0102473,-0.051188,-0.0174514,-0.0158246,-0.01962327,0.0109399,0.004888,-0.00800404,-0.0384995,-0.00951196,-0.02594402,0.00675343,-0.05468192,-0.02094528,-0.01931844,-0.02477932,-0.09973931,-0.05541132,-0.01537724
1977,3,31,0.0037928,-0.0099493,-0.0068232,0.0090588,0.0062802,0.0275179,-0.0341775,0.0026964,-0.0005001,-0.0307685,-0.01374213,0.0099503,0.0102473,-0.01061602,0.00526605,0.00248744,0.02372509,-0.03797025,-0.00109644,-0.00429292,-0.03456133,0.03646313,0.04804481,-0.03343042,0.03875212
1977,4,30,0.0037928,0.005286,0.0221528,0.0816722,0.0094552,0.0381625,-0.0185714,-0.0478256,0.0211742,-0.0406137,0.00149321,-0.0011006,0.0339182,0.01836001,0.07787935,0.00566236,0.03436966,-0.02236418,-0.05161843,0.01738144,-0.04440648,0.08334601,0.06451998,0.03373673,0.04872895
1977,5,31,0.0036932,-0.0109598,0.0227395,0.0472652,-0.0594316,-0.0306654,-0.0244976,-0.0646452,0.0057832,-0.0378057,-0.01465301,0.0119286,0.0082657,0.01904631,0.04357202,-0.06312476,-0.03435859,-0.0281908,-0.06833837,0.00209007,-0.04149889,-0.03586202,-0.07572294,-0.05669287,-0.03729895
1977,6,30,0.003992,0.0498372,0.1022858,0.0185273,0.0002,0.0177417,0.0153811,0.0402778,0.0573251,0.0570417,0.04584521,0.0210763,-0.0065212,0.09829378,0.01453528,-0.00379204,0.01374966,0.01138908,0.03628583,0.05333305,0.05304972,0.01171792,-0.02182924,-0.03600086,0.02504043
1977,7,31,0.0041912,-0.0127813,-0.0225524,0.0170538,-0.0773131,-0.0033055,-0.0392607,0.0289761,-0.0059175,0.0010994,-0.01697254,0.0210763,-0.0061187,-0.02674361,0.01286255,-0.08150431,-0.00749666,-0.04345192,0.0247849,-0.01010868,-0.00309181,0.07270032,0.03031273,-0.03678923,-0.00486088
1977,8,31,0.0043903,-0.0131866,-0.0338671,-0.0653922,-0.0535063,-0.0097474,0.0172504,-0.0280909,-0.0175532,0.0482186,-0.01757691,0.0150856,-0.0283995,-0.03825742,-0.06978257,-0.05789662,-0.0141377,0.01286001,-0.03248123,-0.02194351,0.04382822,0.0321301,0.06428417,0.11269756,0.10289619
1977,9,30,0.0042908,0.0015987,-0.0359381,0.0010994,-0.0590072,-0.0182658,0.0135084,-0.0188771,0.0029955,-0.0120726,-0.00269206,0.0143959,-0.004912,-0.04022889,-0.00319139,-0.06329796,-0.02255659,0.00921757,-0.02316784,-0.00129527,-0.01636336,0.05487854,-0.00069669,0.0447502,0.04873805
1977,10,31,0.004888,-0.0396768,-0.0311811,-0.0989367,-0.0005001,-0.0345914,-0.0437429,-0.1036952,-0.0432207,-0.0296348,-0.04456485,0.01262,0.0169554,-0.03606915,-0.10382478,-0.00538816,-0.03947948,-0.04863096,-0.10858327,-0.04810874,-0.03452284,0.06149557,0.17092371,0.1306567,0.15206082
1977,11,30,0.0049875,0.0440169,0.0786263,0.0739937,0.0148886,0.0342082,0.0527822,0.066443,0.047742,0.0506931,0.03902934,0.0362355,0.0035935,0.07363878,0.06900614,0.00990107,0.02922063,0.04779464,0.06145541,0.04275445,0.04570557,0.061939,0.10472432,0.05038361,0.10499277
1977,12,31,0.004888,0.0075713,0.0171521,0.0176434,0.0430595,-0.0287082,-0.025523,-0.0092426,0.016267,-0.0235757,0.00268323,0.0132123,-0.0035061,0.01226403,0.0127554,0.03817146,-0.0335962,-0.03041099,-0.01413062,0.01137894,-0.02846377,-0.04697895,-0.09649296,-0.0273907,-0.03713686
1978,1,31,0.004888,-0.056782,-0.0696717,-0.0318003,-0.0466724,-0.0637921,-0.0037069,-0.0316971,-0.0618754,-0.0713886,-0.06167005,0.0219572,0.0322736,-0.07455971,-0.03668835,-0.05156044,-0.06868017,-0.0085949,-0.03658512,-0.06676344,-0.07627663,0.00948905,0.08725136,-0.00417994,-0.00029799
1978,2,28,0.0045895,-0.0092426,0.0427721,-0.0029042,-0.0386369,-0.0332466,0.0007997,-0.0093435,-0.0009004,-0.0131866,-0.01383203,0.034981,0.0079682,0.03818264,-0.00749367,-0.04322634,-0.03783605,-0.00378977,-0.01393297,-0.00548986,-0.01777601,0.03955703,0.11391062,0.0372617,0.06790568
1978,3,31,0.005286,0.0332413,0.0945826,0.1314668,0.0601539,0.0655068,0.0309171,0.0810268,0.0442083,0.0172504,0.02795533,0.0339182,0.01262,0.08929664,0.12618076,0.05486792,0.0602208,0.0256311,0.07574083,0.03892225,0.01196435,0.09996988,-0.10334195,0.05340277,0.09528307
1978,4,30,0.0053855,0.0808424,0.1244276,0.0518332,0.0848925,0.1225716,0.042197,0.0843412,0.0919409,0.1089441,0.07545692,0.0037928,-0.0354199,0.11904211,0.04644768,0.07950699,0.11718608,0.03681158,0.07895568,0.0865554,0.10355862,0.04532777,0.02809916,0.0817598,0.08595995
